order_id,created_at,user_line_name,user_phone,address,community,delivery_date,time_slot,chicken_items,side_items,extra_items,chicken_count,side_count,total_boxes,subtotal,delivery_fee,total_amount,payment_method,payment_status,order_status,staff_notes,customer_notes,customer_tags,handoff_type,handoff_logged_at,handoff_resolved_at,source,intent_confirmed,receipts_path,likely_paid,detected_amount,detected_account_last5,vision_confidence,vision_source,analyzed_at
ORD-20260804-001,2026-08-04T00:36:56.164Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-002,2026-08-04T00:36:56.168Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-003,2026-08-04T00:36:56.171Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-004,2026-08-04T00:36:56.171Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-005,2026-08-04T00:36:56.172Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-006,2026-08-04T00:38:01.697Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-007,2026-08-04T00:38:01.701Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-008,2026-08-04T00:38:01.704Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-009,2026-08-04T00:38:01.704Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-010,2026-08-04T00:38:01.705Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-011,2026-08-04T00:40:34.098Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-012,2026-08-04T00:40:34.102Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-013,2026-08-04T00:40:34.105Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-014,2026-08-04T00:40:34.105Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-015,2026-08-04T00:40:34.106Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-016,2026-08-04T00:41:39.793Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-017,2026-08-04T00:41:39.797Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-018,2026-08-04T00:41:39.799Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-019,2026-08-04T00:41:39.800Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-020,2026-08-04T00:41:39.801Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-021,2026-08-04T04:37:34.556Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-022,2026-08-04T04:37:34.560Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-023,2026-08-04T04:37:34.563Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-024,2026-08-04T04:37:34.564Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-025,2026-08-04T04:37:34.565Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-026,2026-08-04T04:38:16.912Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-027,2026-08-04T04:38:16.916Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-028,2026-08-04T04:38:16.918Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-029,2026-08-04T04:38:16.919Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-030,2026-08-04T04:38:16.920Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-031,2026-08-04T04:41:44.471Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-032,2026-08-04T04:41:44.476Z,,,,,,,,,,,,,,,1000,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-033,2026-08-04T04:41:44.478Z,,,,,,,,,,,,,,,380,transfer,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-034,2026-08-04T04:41:44.479Z,,,,,,,,,,,,,,,380,unknown_method_xyz,pending,new,,,,,,,line,true,,,,,,,
ORD-20260804-035,2026-08-04T04:41:44.480Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
ORD-20260804-036,2026-08-04T05:11:11.781Z,,,,,,,,,,,,,,,380,cash,confirmed,new,,,,,,,line,true,,,,,,,
